2019-03-09 13:59:13,907 [main]                [34mINFO [0;39m com.github.xsavikx.androidscreencast.app.DeviceChooserApplication - Starting application
 [ScreenCaptureRunnable.java:58]2019-03-09 14:01:48,869 [Screen Capturer]     [31mWARN [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - ADB Command was rejected. Will try again in 100 ms.
 [ScreenCaptureRunnable.java:82]2019-03-09 14:01:48,970 [Screen Capturer]     [34mINFO [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - Failed to get device screenshot
 [ScreenCaptureRunnable.java:58]2019-03-09 14:01:48,977 [Screen Capturer]     [31mWARN [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - ADB Command was rejected. Will try again in 100 ms.
 [ScreenCaptureRunnable.java:82]2019-03-09 14:01:49,079 [Screen Capturer]     [34mINFO [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - Failed to get device screenshot
 [ScreenCaptureRunnable.java:58]2019-03-09 14:01:49,086 [Screen Capturer]     [31mWARN [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - ADB Command was rejected. Will try again in 100 ms.
 [ScreenCaptureRunnable.java:82]2019-03-09 14:01:49,188 [Screen Capturer]     [34mINFO [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - Failed to get device screenshot
 [ScreenCaptureRunnable.java:58]2019-03-09 14:01:49,195 [Screen Capturer]     [31mWARN [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - ADB Command was rejected. Will try again in 100 ms.
 [ScreenCaptureRunnable.java:82]2019-03-09 14:01:49,297 [Screen Capturer]     [34mINFO [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - Failed to get device screenshot
 [ScreenCaptureRunnable.java:58]2019-03-09 14:01:49,304 [Screen Capturer]     [31mWARN [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - ADB Command was rejected. Will try again in 100 ms.
 [ScreenCaptureRunnable.java:82]2019-03-09 14:01:49,405 [Screen Capturer]     [34mINFO [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - Failed to get device screenshot
 [ScreenCaptureRunnable.java:58]2019-03-09 14:01:49,413 [Screen Capturer]     [31mWARN [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - ADB Command was rejected. Will try again in 100 ms.
 [ScreenCaptureRunnable.java:82]2019-03-09 14:01:49,514 [Screen Capturer]     [34mINFO [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - Failed to get device screenshot
 [ScreenCaptureRunnable.java:58]2019-03-09 14:01:49,521 [Screen Capturer]     [31mWARN [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - ADB Command was rejected. Will try again in 100 ms.
 [ScreenCaptureRunnable.java:82]2019-03-09 14:01:49,623 [Screen Capturer]     [34mINFO [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - Failed to get device screenshot
 [ScreenCaptureRunnable.java:58]2019-03-09 14:01:49,630 [Screen Capturer]     [31mWARN [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - ADB Command was rejected. Will try again in 100 ms.
 [ScreenCaptureRunnable.java:82]2019-03-09 14:01:49,731 [Screen Capturer]     [34mINFO [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - Failed to get device screenshot
 [ScreenCaptureRunnable.java:58]2019-03-09 14:01:49,738 [Screen Capturer]     [31mWARN [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - ADB Command was rejected. Will try again in 100 ms.
 [ScreenCaptureRunnable.java:82]2019-03-09 14:01:49,839 [Screen Capturer]     [34mINFO [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - Failed to get device screenshot
 [ScreenCaptureRunnable.java:58]2019-03-09 14:01:49,846 [Screen Capturer]     [31mWARN [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - ADB Command was rejected. Will try again in 100 ms.
 [ScreenCaptureRunnable.java:82]2019-03-09 14:01:49,948 [Screen Capturer]     [34mINFO [0;39m com.github.xsavikx.androidscreencast.api.injector.ScreenCaptureRunnable - Failed to get device screenshot
